                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.3242,                 2.0789,                0.98875,                0.29298,                0.34937,                0.22649,                0.07587,                 2.2933,                 2.0984,                0.96974,              0.0093268,              0.0093268,              0.0093268
                     36,                 2.3151,                 2.0545,                0.99052,                0.28038,                0.35493,                0.22778,                0.07609,                  2.268,                 2.0459,                0.96831,               0.009307,               0.009307,               0.009307
                     37,                 2.3045,                 2.0607,                0.98134,                0.30206,                0.35459,                0.26295,                0.08819,                 2.2939,                 2.0451,                 0.9798,              0.0092872,              0.0092872,              0.0092872
                     38,                 2.3056,                 2.0629,                0.98866,                 0.2871,                0.37291,                0.23343,                0.08326,                 2.2425,                  2.039,                0.96873,              0.0092674,              0.0092674,              0.0092674
                     39,                 2.3026,                 2.0464,                 0.9899,                0.28587,                0.36498,                0.24593,                0.08122,                 2.2849,                 1.9855,                  0.976,              0.0092476,              0.0092476,              0.0092476
                     40,                 2.3135,                 2.0504,                0.98551,                0.28326,                0.39194,                0.22774,                0.07985,                  2.289,                 2.0213,                0.97986,              0.0092278,              0.0092278,              0.0092278
                     41,                 2.3085,                 2.0524,                0.98973,                0.32796,                0.32988,                0.24747,                0.08324,                 2.2569,                 2.0554,                0.96959,               0.009208,               0.009208,               0.009208
                     42,                 2.3069,                  2.029,                0.98244,                0.32565,                0.37201,                0.26351,                0.09025,                 2.2287,                  1.968,                0.96398,              0.0091882,              0.0091882,              0.0091882
                     43,                 2.2991,                  2.009,                0.98273,                0.31575,                0.36354,                0.25078,                0.08541,                  2.266,                 1.9785,                0.97279,              0.0091684,              0.0091684,              0.0091684
                     44,                 2.2889,                 2.0335,                0.98389,                0.27666,                0.35475,                0.24986,                0.09187,                 2.2713,                 2.0208,                0.97428,              0.0091486,              0.0091486,              0.0091486
                     45,                 2.2957,                 2.0325,                 0.9816,                0.32299,                0.34551,                0.26362,                0.09016,                 2.2777,                  1.982,                0.97604,              0.0091288,              0.0091288,              0.0091288
                     46,                 2.2879,                 2.0183,                0.98236,                0.28892,                0.31578,                0.22524,                0.07713,                 2.3208,                 1.9625,                0.98715,               0.009109,               0.009109,               0.009109
                     47,                 2.2771,                 1.9955,                0.98661,                0.29282,                0.34961,                0.24069,                0.08341,                 2.2927,                 1.9512,                 0.9785,              0.0090892,              0.0090892,              0.0090892
                     48,                 2.2906,                 2.0108,                0.98391,                0.32237,                 0.3432,                 0.2544,                0.08801,                 2.2464,                 1.9806,                 0.9676,              0.0090694,              0.0090694,              0.0090694
